city,latitude,longitude,forecast_date,temp_max,temp_min,precipitation_mm,precipitation_prob,wind_speed_max,wind_gust_max,weather_code,extracted_at
Ad Dakhla,23.725834,-15.966187,2026-09-21,21.8,20.5,0.0,3,30.2,38.9,0,2026-09-21 10:26:04
Ad Dakhla,23.725834,-15.966187,2026-09-22,22.1,20.5,0.0,4,35.5,44.3,1,2026-09-21 10:26:04
Ad Dakhla,23.725834,-15.966187,2026-09-23,23.5,21.3,0.1,8,29.5,40.0,51,2026-09-21 10:26:04
Ad Dakhla,23.725834,-15.966187,2026-09-24,32.2,23.7,0.0,0,35.0,43.9,3,2026-09-21 10:26:04
Ad Dakhla,23.725834,-15.966187,2026-09-25,27.6,21.5,0.0,2,41.9,53.3,3,2026-09-21 10:26:04
Ad Dakhla,23.725834,-15.966187,2026-09-26,25.3,21.5,0.0,9,36.3,54.4,3,2026-09-21 10:26:04
Ad Dakhla,23.725834,-15.966187,2026-09-27,25.9,23.0,0.6,16,27.1,40.0,51,2026-09-21 10:26:04
Ad Darwa,33.4375,-7.5625,2026-09-21,37.6,20.6,0.0,0,18.6,36.4,1,2026-09-21 10:26:15
Ad Darwa,33.4375,-7.5625,2026-09-22,34.6,18.9,0.0,0,15.6,31.0,1,2026-09-21 10:26:15
Ad Darwa,33.4375,-7.5625,2026-09-23,33.5,18.2,0.0,0,15.9,31.3,45,2026-09-21 10:26:15
Ad Darwa,33.4375,-7.5625,2026-09-24,33.4,18.6,0.0,0,15.8,32.0,0,2026-09-21 10:26:15
Ad Darwa,33.4375,-7.5625,2026-09-25,33.5,17.9,0.0,0,16.9,33.5,3,2026-09-21 10:26:15
Ad Darwa,33.4375,-7.5625,2026-09-26,33.4,18.5,0.0,0,17.1,33.5,3,2026-09-21 10:26:15
Ad Darwa,33.4375,-7.5625,2026-09-27,33.3,20.3,0.0,0,16.1,31.7,45,2026-09-21 10:26:15
Agadir,30.4375,-9.5625,2026-09-21,36.1,22.3,0.0,0,13.7,29.2,3,2026-09-21 10:25:57
Agadir,30.4375,-9.5625,2026-09-22,35.0,26.4,0.0,0,13.1,40.3,3,2026-09-21 10:25:57
Agadir,30.4375,-9.5625,2026-09-23,36.3,25.6,0.0,0,14.6,36.7,1,2026-09-21 10:25:57
Agadir,30.4375,-9.5625,2026-09-24,34.2,22.1,0.0,0,9.8,28.1,0,2026-09-21 10:25:57
Agadir,30.4375,-9.5625,2026-09-25,27.7,20.0,0.0,0,9.7,32.4,45,2026-09-21 10:25:57
Agadir,30.4375,-9.5625,2026-09-26,27.7,19.7,0.0,0,13.8,27.7,45,2026-09-21 10:25:57
Agadir,30.4375,-9.5625,2026-09-27,28.9,20.4,0.0,0,14.8,30.2,3,2026-09-21 10:25:57
Aguelmous,33.125,-5.8125,2026-09-21,32.4,20.0,0.0,0,22.9,45.4,3,2026-09-21 10:26:36
Aguelmous,33.125,-5.8125,2026-09-22,31.1,18.2,0.0,0,18.9,37.4,1,2026-09-21 10:26:36
Aguelmous,33.125,-5.8125,2026-09-23,31.5,17.8,0.0,0,13.4,38.5,1,2026-09-21 10:26:36
Aguelmous,33.125,-5.8125,2026-09-24,33.0,18.9,0.0,0,16.0,40.0,0,2026-09-21 10:26:36
Aguelmous,33.125,-5.8125,2026-09-25,32.4,19.0,0.0,0,15.5,40.3,2,2026-09-21 10:26:36
Aguelmous,33.125,-5.8125,2026-09-26,33.0,18.5,0.0,0,16.6,40.3,3,2026-09-21 10:26:36
Aguelmous,33.125,-5.8125,2026-09-27,31.2,18.6,0.0,7,9.3,19.8,3,2026-09-21 10:26:36
Ain El Aouda,33.8125,-6.8125,2026-09-21,36.6,18.6,0.0,0,17.7,35.3,2,2026-09-21 10:26:13
Ain El Aouda,33.8125,-6.8125,2026-09-22,34.3,18.0,0.0,0,15.5,31.3,0,2026-09-21 10:26:13
Ain El Aouda,33.8125,-6.8125,2026-09-23,33.6,16.2,0.0,0,16.9,33.5,1,2026-09-21 10:26:13
Ain El Aouda,33.8125,-6.8125,2026-09-24,33.8,17.1,0.0,0,14.5,32.8,0,2026-09-21 10:26:13
Ain El Aouda,33.8125,-6.8125,2026-09-25,34.4,17.6,0.0,0,15.9,33.5,0,2026-09-21 10:26:13
Ain El Aouda,33.8125,-6.8125,2026-09-26,35.0,16.0,0.0,0,16.3,31.3,3,2026-09-21 10:26:13
Ain El Aouda,33.8125,-6.8125,2026-09-27,32.4,18.5,0.0,0,13.8,27.0,45,2026-09-21 10:26:13
